latitude,longitude,avg_ws100_mean,avg_ws100_std,max_ws100_mean,min_ws100_mean,annual_energy_mwh_mean,annual_energy_mwh_std,annual_energy_gwh_mean,capacity_factor_mean,capacity_factor_std,full_load_hours_mean,full_load_hours_std,low_ratio_mean,high_ratio_mean,safe_ratio_mean,rated_ratio_mean,avg_ws100_cv,annual_energy_mwh_cv,capacity_factor_cv,distance_to_load_km,n_turbines,installed_capacity_mw,score_energy,score_cf,score_turbines,score_distance,score_lowrisk,composite_score,distance_to_control_point,elevation_m,slope_deg,nearest_town_name,distance_to_nearest_town_km,elevation_penalty,slope_penalty,score_town_dist,score_load_dist,score_elevation,score_slope,composite_score_v4,distance_to_reference_point
37.25,99.75,4.1806828933333335,0.2368148787704189,17.6246218,0.0494335681666666,1559.73833,294.9465477813192,1.5597383233333335,0.0889623252333333,0.0168356275488942,779.8691660000001,147.4732709556407,0.4014707209455131,3.80517503805e-06,0.5985254738794487,0.0156126539744325,0.0566450230291449,0.1891000189636419,0.189244463931639,129.88700721546732,713,1426.0,0.9507011709803916,0.9507018838763998,0.9984085377270174,0.5478354984958669,0.8480254866447273,0.8919307359400046,129.72702629953938,3337.343994140625,3.962970495223999,黑马河乡,57.97691578715151,0.0,0.0,0.3967975542800909,0.5478354984958669,1.0,1.0,0.8426523437409525,88.06651063381435
37.5,99.75,4.312873026666667,0.2509727909147495,16.39732085,0.0427527029866666,1638.0049633333333,301.6075776906161,1.6380049666666667,0.0934263227,0.0172160950519749,819.002474,150.8037828655549,0.3737169074531526,0.0,0.6262830925468473,0.0102553002137551,0.058191555689902,0.1841310523729097,0.1842745658229248,153.3613351609366,679,1358.0,1.0,1.0,1.0,0.4594770209099055,0.8976005866642341,0.9086816118029092,154.17294589988887,3963.650146484375,5.42981481552124,黑马河乡,85.75808744657091,0.5,0.3,0.5960099871145869,0.4594770209099055,0.5,0.7,0.8286878403052691,115.85442761714634
36.75,99.0,4.15877944,0.219088518056782,16.247070516666664,0.0371422862266666,1492.5858616666667,249.3208418154724,1.492585875,0.0851295034333333,0.0142151113124312,746.2929276666667,124.66041946661976,0.4004032653808086,0.0,0.5995967346191914,0.0080607018988446,0.0526809659462926,0.1670395306686565,0.1669821946461069,150.96002799830478,745,1490.0,0.9084029665781368,0.908374150586139,0.9969106908818574,0.4685156543310323,0.8499322234036657,0.8586939633011546,145.14513626477515,3063.400146484375,2.5473763942718506,黑马河乡,69.37485787165478,0.0,0.0,0.4785295920716185,0.4685156543310323,1.0,1.0,0.8239873609076382,71.86644434699691
36.75,99.25,4.024629726666666,0.2246427404235598,16.568509433333336,0.0438480516,1504.6744833333332,258.3765415932044,1.504674463333333,0.0858193329,0.0147344816686319,752.3372443333334,129.18827589113528,0.4480464688807378,0.0,0.551953531119262,0.0108820624464571,0.0558169957686061,0.17171590563616,0.1716918690780451,130.11885481005416,739,1478.0,0.9160173849738992,0.915992276135527,0.9971915371653248,0.5469628132144289,0.7648298074993127,0.8658289577427021,124.797880699566,3204.2314453125,1.1179379224777222,黑马河乡,47.11655326169225,0.0,0.0,0.318920376647528,0.5469628132144289,1.0,1.0,0.8133672061574333,52.91760724355338
37.0,100.25,3.813128943333333,0.2017900210166169,18.11818573333333,0.0311676293333333,1423.03962,237.28721768691096,1.4230396166666668,0.0811640787333333,0.0135361567339281,711.5198053333334,118.64360826949144,0.4854739730186058,2.2820653575193333e-05,0.5145032063278189,0.0156876970165763,0.0529197999898261,0.1667467401131888,0.16677521565176,83.97987676082182,781,1562.0,0.8645969648266706,0.8645820183549427,0.9952256131810522,0.720632102800592,0.6979751296141978,0.8589942247957614,86.32870640326571,3194.0,0.0,江西沟乡,48.248634782449486,0.0,0.0,0.3270382745058985,0.720632102800592,1.0,1.0,0.8124292296565081,76.61862980041296
37.0,100.0,3.8758217833333335,0.2113162434406196,17.653005416666666,0.0298902463066666,1436.551365,257.6283155541972,1.4365513566666666,0.081934763,0.0146971895500409,718.2756783333333,128.8141555521602,0.4670236565444851,1.1415525114153334e-05,0.5329649279304006,0.0160297053172642,0.0545216615349327,0.1793380465405058,0.1793767262137671,94.4055896851292,774,1548.0,0.8731077845482065,0.8730930631654445,0.995553267178431,0.681389227610298,0.7309319081429526,0.8607408397479984,94.58225420891551,3194.0,0.0,黑马河乡,36.01544071198357,0.0,0.0,0.2393168356123103,0.681389227610298,1.0,1.0,0.8046667736223352,65.23942171792993
37.25,99.5,4.087906206666667,0.2311342782159443,16.939572033333334,0.0390999081966666,1478.1075933333334,277.6454994635486,1.478107588,0.0843058749666666,0.0158446860453289,739.053795,138.82274135443384,0.4157908110221157,0.0,0.5842091889778842,0.012851822741223,0.0565409934892841,0.187838490726795,0.1879428456390936,143.90083129575802,752,1504.0,0.8992833501507235,0.8992784169761563,0.9965830368844786,0.4950868036762155,0.8224463027955842,0.8552940984925587,142.48397789417697,3418.69677734375,5.69815731048584,黑马河乡,62.97008652630632,0.0,0.3,0.432602440506615,0.4950868036762155,1.0,0.7,0.8019361223954246,90.14314475576384
37.25,100.0,3.99179479,0.2104681706188477,17.246199266666668,0.04558783105,1364.4206733333333,252.6947796057896,1.364420665,0.0778219609333333,0.0144244221690563,682.2103406666666,126.34738776456152,0.4242189618318071,3.80517503805e-06,0.5757772329931548,0.0127646572015536,0.0527251979851518,0.1852029836138779,0.185351563955232,118.4287409264296,815,1630.0,0.8276738814391197,0.8276733703027342,0.9936341509080696,0.5909649532528166,0.8073915637599935,0.831629275583222,119.78592696524818,3217.123046875,1.9917339086532595,黑马河乡,61.1836541381842,0.0,0.0,0.419792342124336,0.5909649532528166,1.0,1.0,0.8005468957806603,91.51580496801606
36.75,98.75,4.127838956666666,0.2139713729134226,15.06302265,0.0365381230833333,1309.6866976666668,216.528267788545,1.309686693333333,0.0746977254,0.0123438111944069,654.84335,108.26413175443255,0.348506791093811,0.0,0.6514932089061889,0.0041554382813084,0.051836172670411,0.1653282942968811,0.1652501616121093,172.17694038893205,849,1698.0,0.7931978755981325,0.7931709031150118,0.992042688635087,0.3886541953676298,0.942632021366416,0.797165546903,166.00685869458417,3449.4267578125,4.58390474319458,黑马河乡,91.64200567821624,0.0,0.0,0.6382022200374875,0.3886541953676298,1.0,1.0,0.7945421332698464,92.3324447136831
36.5,99.5,3.7486288233333336,0.2334433313277974,17.395096533333334,0.0314711140733333,1405.3490666666669,263.0200739677859,1.4053490766666668,0.0801551306,0.0150050846765145,702.6745366666668,131.51004236965267,0.5002401418935216,0.0,0.4997598581064783,0.0130728139997171,0.0622743254479424,0.1871564013570241,0.1872005517824531,100.35311299998644,791,1582.0,0.8534539843904492,0.8534397086625282,0.9947575360419396,0.6590024693299943,0.671599139911724,0.8414238054507969,93.74479499331882,3046.669677734375,1.2759363651275637,切吉乡,23.711543176905185,0.0,0.0,0.1510883983326225,0.6590024693299943,1.0,1.0,0.7793614316407402,20.075991450812555
